1	1000	291.18	0.174	0.455	90.14982447	-0.548153813	12.8709
2	844.85	321.04	0.1777	0.4674	72.58804496	-0.548122397	9.5859
3	1000	317.21	0.174	0.455	51.47310639	-0.547811728	5.8554
4	987.44	368.66	0.1785	0.47	86.85384916	-0.547630214	16.4799
5	1000	275.81	0.174	0.455	32.41114314	-0.548131124	1.7946
6	1000	275.4	0.174	0.455	95.54703106	-0.548529059	12.0069
7	998.26	308.72	0.174	0.4551	116.2587486	-0.548621561	17.7966
8	1000	230.55	0.174	0.455	62.86197378	-0.548855435	3.5388
9	1000	236.45	0.174	0.455	44.35382211	-0.548787367	8.1441
10	826.23	197.81	0.1782	0.4689	151.2182123	-0.549406959	20.4453
11	1000	292.90	0.174	0.455	95.56059289	-0.548970627	14.508
12	933.59	221.42	0.1756	0.4603	139.6589467	-0.549553567	29.1924
13	1000	277.40	0.174	0.455	85.47078447	-0.549513424	9.8991
14	972.4	285.61	0.1747	0.4572	55.95125335	-0.549497716	4.6134
15	1000	252.00	0.174	0.455	73.38654872	-0.549721119	11.1042
16	1000	282.39	0.174	0.455	59.66078759	-0.549872962	7.8174
17	552.51	200.48	0.1847	0.4908	48.14683165	-0.549787441	4.8672
18	1000	257.96	0.174	0.455	81.40041836	-0.550007353	6.7311
19	1000	214	0.174	0.455	21.39523675	-0.55007193	1.0935
20	994.4	107.52	0.1741	0.4554	35.3469576	-0.550183631	2.8107
21	988.49	174.73	0.1743	0.4559	49.61140941	-0.550138252	6.1758
22	1000	118.72	0.174	0.455	41.21523601	-0.550174904	3.933
23	1000	231.1	0.174	0.455	40.07651445	-0.55020632	4.7313
24	1000	157.59	0.174	0.455	132.6861319	-0.550387834	14.5494
25	1153.47	103.45	0.1771	0.4657	71.9603959	-0.550441939	14.7105
26	1091.17	87.49	0.1738	0.4545	82.32820491	-0.55049779	6.6384
27	1000	240.01	0.174	0.455	43.31111362	-0.550344201	2.8476
28	1000	253	0.174	0.455	50.21743095	-0.550443685	6.5457
29	1000	236.71	0.174	0.455	42.38054225	-0.550742136	5.0058
30	1000	188.98	0.174	0.455	78.33106279	-0.550612982	11.9196
31	1000	143.9	0.174	0.455	130.0290361	-0.550862564	16.4691
32	1010.34	63.9	0.174	0.4549	21.30192272	-0.550799732	0.783
33	1000	196.43	0.174	0.455	74.39620335	-0.551099929	12.7845
34	1000	87.03	0.174	0.455	16.5334584	-0.550876526	0.7623
35	1198.57	73.74	0.1736	0.4538	48.01998637	-0.550911433	4.1517
36	1165.44	70.26	0.1737	0.454	55.79156413	-0.550921905	3.411
37	1000	108.91	0.174	0.455	44.661876	-0.551021389	3.4488
38	1001.51	95.69	0.174	0.455	72.81398951	-0.551174978	7.4268
39	1012	89.08	0.174	0.4549	44.89852562	-0.551096438	4.1625
40	1000	164.52	0.174	0.455	48.48550874	-0.551230828	4.3038
41	1000	177.9	0.174	0.455	53.3498258	-0.551510081	8.6814
42	1000	190.53	0.174	0.455	77.40997106	-0.551534516	11.7972
43	1000	178.03	0.174	0.455	78.99865087	-0.551396635	11.9826
